FilePath,DebugSize,ImageVersion,IatRVA,ExportSize,ResourceSize,VirtualSize2,NumberOfSections,CheckSum,DLLCharacteristics,SizeOfInitializedData,SizeOfStackReserve,Label
drmupgds.exe,56,21315.20512,227732,0,1000,14821,4,289738,33088,20992,262144,clean
drvinst.exe,28,6.1,239400,0,2008,1408,4,254050,33088,9728,262144,clean
drwtsn32.exe,28,5.1,29632,0,14616,5036,3,85980,32768,19968,262144,clean
DSndUp.exe,0,0.0,29948,0,928,2618,4,0,0,28672,1048576,clean
du.exe,28,0.0,211740,0,1292,30338,4,288636,32768,37888,1048576,clean
dumpchk.exe,28,6.3,16528,0,2448,884,5,71206,49472,5120,262144,clean
dumpexam.exe,28,6.3,12408,0,2456,880,5,46696,49472,5120,262144,clean
dumprep.exe,28,5.1,10240,0,1040,164,3,76242,32768,2048,262144,clean
DVDMaker.exe,28,6.1,382300,3087,1547984,5096,4,2030815,33088,1580032,524288,clean
dvdplay.exe,28,6.1,7052,0,3328,896,4,57626,33088,5120,262144,clean
dvdupgrd.exe,28,6.1,18572,0,2008,904,4,44215,33088,4096,262144,clean
dw20.exe,28,8.0,24716,0,2164,1052,3,97979,32768,3072,1048576,clean
dwm.exe,56,6.1,73880,0,6080,10352,4,135151,33088,20992,262144,clean
DWWIN.EXE,28,6.1,110468,0,2696,3000,4,178616,33088,17920,262144,clean
dxcap.exe,28,6.3,562496,0,968,4720,6,621848,49472,43008,262144,clean
dxcapsviewer.exe,28,6.3,136480,0,30792,28776,6,194303,49504,70144,524288,clean
dxcpl.exe,28,6.3,467416,0,34488,285032,5,269862,49472,330752,262144,clean
dxdiag.exe,28,6.1,216204,0,29776,13436,4,296357,33088,55808,262144,clean
Dxpserver.exe,28,6.1,151360,0,40736,3836,4,270650,33088,55296,262144,clean
Eap3Host.exe,28,6.1,8060,0,1816,896,4,27555,33088,4096,262144,clean
EdmGen.exe,28,0.0,74628,0,1592,1592,3,128498,34144,2560,1048576,clean
efsdump.exe,0,0.0,25888,0,0,3066,3,164999,0,122880,1048576,clean
efsui.exe,28,6.1,9668,0,1968,920,4,24611,33088,4096,262144,clean
ehexthost.exe,28,0.0,99280,0,37416,37416,3,153397,33856,45056,1048576,clean
ehmsas.exe,56,6.1,24880,0,12200,1388,4,98651,33088,15360,262144,clean
ehprivjob.exe,28,6.1,210708,0,1360,2536,4,275812,33088,15872,262144,clean
ehrec.exe,56,6.1,57312,112,5184,1532,4,78754,33088,9728,262144,clean
ehrecvr.exe,56,6.1,530968,558,4704,3956,4,585585,33088,23552,262144,clean
ehsched.exe,56,6.1,82704,0,4208,2812,4,115888,33088,11264,262144,clean
ehshell.exe,56,6.1,12376,0,87656,1020,4,101870,33088,89600,262144,clean
EhStorAuthn.exe,28,6.1,48612,93,76016,1044,4,171389,33088,81920,262144,clean
ehtray.exe,56,6.1,120412,0,2144,14348,4,166552,33088,22528,262144,clean
ehvid.exe,56,6.1,219188,0,2976,4948,4,285917,33088,14848,262144,clean
esentutl.exe,28,6.1,111276,0,1744,112700,4,160515,33088,120832,262144,clean
eudcedit.exe,28,6.1,170404,0,95800,15636,4,289818,33088,126464,262144,clean
eudcsettings.exe,28,6.1,11892,0,1056,888,4,70729,33088,3584,262144,clean
eventcreate.exe,28,6.1,30284,0,2152,1232,4,61203,33088,6144,262144,clean
eventtriggers.exe,28,5.1,60196,0,21272,208,4,103449,32768,22528,262144,clean
eventvwr.exe,28,6.1,10916,0,68488,896,4,94055,33088,70656,262144,clean
